name,runtime,precision,device,batch,p50_ms,p95_ms,p99_ms,throughput_ips,peak_mem_mb,macro_f1,accuracy,n_test
pytorch-fp32,pytorch,fp32,cpu,1,141.31,160.99,165.7,7.02,,0.8874,0.8952,1565
pytorch-fp32,pytorch,fp32,cpu,32,3712.9,4324.04,4361.1,8.5,,0.8874,0.8952,1565
pytorch-fp32,pytorch,fp32,cuda,1,9.99,10.12,10.13,100.14,369.38,0.8853,0.8933,1565
pytorch-fp32,pytorch,fp32,cuda,32,261.72,271.34,272.28,122.06,780.45,0.8853,0.8933,1565
torch-compile,torch.compile,fp32,cuda,1,9.12,9.58,9.64,108.96,363.36,0.8853,0.8933,1565
torch-compile,torch.compile,fp32,cuda,32,240.05,247.84,255.66,132.77,603.34,0.8853,0.8933,1565
onnxruntime,onnxruntime,fp32,cuda,1,4.93,5.07,5.09,202.51,361.07,0.8861,0.8939,1565
onnxruntime,onnxruntime,fp32,cuda,32,135.48,138.28,138.88,236.69,379.73,0.8861,0.8939,1565
pytorch-tf32,pytorch,tf32,cuda,1,8.43,8.63,9.75,118.37,369.38,0.8853,0.8933,1565
pytorch-tf32,pytorch,tf32,cuda,32,141.03,147.97,150.69,225.97,780.45,0.8853,0.8933,1565
onnxruntime-fp16,onnxruntime,fp16,cuda,1,3.12,3.15,3.18,320.43,356.25,0.8861,0.8939,1565
onnxruntime-fp16,onnxruntime,fp16,cuda,32,71.57,73.32,73.84,448.4,374.92,0.8861,0.8939,1565
onnxruntime-int8,onnxruntime,int8,cpu,1,192.73,203.69,212.74,5.17,,0.3992,0.6192,1565
onnxruntime-int8,onnxruntime,int8,cpu,32,4178.32,4344.09,4354.92,7.64,,0.3992,0.6192,1565
